risk,bid,vote,NEP,income,age
20,80,0,15,very_rich,tothirty
40,100,1,37,middle,tothirty
80,40,1,32,one_percent,tothirty
20,40,0,32,middle,tothirty
80,80,1,40,middle,toforty
80,80,1,29,poor,tothirty
60,20,1,50,middle,tothirty
60,40,1,46,poor,toforty
20,40,0,27,very_rich,toforty
60,40,1,32,poor,tothirty
20,20,1,29,middle,tothirty
40,80,1,48,very_rich,toforty
80,20,0,24,one_percent,tothirty
60,100,0,43,poor,tothirty
60,60,0,33,middle,toforty
60,60,1,24,one_percent,tothirty
20,40,1,30,poor,toforty
20,40,1,38,poor,toforty
20,60,1,35,very_rich,tofifty
20,80,0,42,one_percent,tofifty
20,20,1,25,one_percent,tofifty
20,100,0,15,poor,toforty
60,40,0,22,one_percent,toforty
40,100,1,47,very_rich,toforty
80,60,0,41,rich,toforty
20,40,1,41,rich,toforty
20,20,1,44,one_percent,tothirty
60,80,1,29,very_rich,tothirty
20,80,1,23,one_percent,toforty
20,60,0,25,one_percent,toforty
80,20,1,30,very_rich,toforty
60,80,1,29,middle,toforty
20,100,0,31,poor,tothirty
60,20,1,45,very_rich,toforty
60,40,0,24,poor,tothirty
80,20,1,23,one_percent,tofifty
20,100,0,28,rich,tothirty
80,100,1,43,very_rich,toforty
40,100,0,33,very_rich,tothirty
40,40,0,34,poor,tofifty
80,40,0,39,middle,tofifty
40,20,1,36,very_rich,toforty
40,20,0,33,rich,tothirty
20,100,0,39,very_rich,tothirty
80,80,1,47,middle,tofifty
80,80,1,42,very_rich,tofifty
80,20,1,52,one_percent,tofifty
60,80,1,34,poor,tothirty
80,60,1,34,rich,toforty
60,60,1,31,rich,tothirty
80,40,0,21,rich,toforty
20,40,0,45,one_percent,toforty
80,20,1,42,one_percent,toforty
80,100,1,48,middle,tothirty
60,80,1,50,rich,tofifty
40,100,0,40,middle,tothirty
80,40,1,39,middle,tothirty
40,80,0,37,one_percent,tofifty
20,40,1,49,middle,tosixty
40,80,1,42,one_percent,tofifty
20,100,1,28,poor,tofifty
80,100,0,27,very_rich,toforty
60,60,1,40,middle,tofifty
20,40,0,19,rich,tofifty
80,40,0,31,rich,tofifty
40,40,1,23,one_percent,tosixty
80,60,1,37,rich,tosixty
40,100,1,38,one_percent,tosixty
20,20,1,41,poor,tothirty
80,100,0,38,one_percent,tosixty
60,20,0,27,poor,tofifty
60,20,1,40,poor,tothirty
20,40,1,51,one_percent,tosixty
40,40,0,16,very_rich,tosixty
40,100,1,48,one_percent,tofifty
80,100,1,33,one_percent,tofifty
60,20,1,43,middle,toforty
20,40,0,32,rich,tosixty
80,100,1,35,rich,tofifty
20,60,1,59,very_rich,tofifty
40,20,1,50,one_percent,toforty
60,80,1,30,poor,tothirty
80,100,1,47,rich,tofifty
60,60,1,44,one_percent,tosixty
80,40,1,55,middle,tothirty
20,80,1,48,poor,tosixty
80,20,0,42,one_percent,tosixty
40,100,1,45,one_percent,tosixty
60,60,1,51,middle,tosixty
80,60,0,46,middle,tofifty
20,40,1,45,one_percent,tothirty
40,60,1,38,rich,toforty
40,100,1,36,poor,tothirty
20,40,1,37,middle,tofifty
20,60,0,48,middle,tothirty
20,100,1,33,middle,tosixty
60,100,0,47,one_percent,tothirty
60,100,1,33,poor,tothirty
40,80,1,43,rich,tothirty
80,80,1,35,rich,tofifty
60,80,0,38,middle,tothirty
60,100,1,40,one_percent,tofifty
80,60,0,32,one_percent,tosixty
20,20,1,40,one_percent,tosixty
60,60,0,22,one_percent,tofifty
20,100,0,40,middle,tothirty
20,40,1,37,one_percent,toforty
20,40,1,32,poor,tothirty
40,60,1,40,one_percent,tosixty
80,80,1,36,rich,tothirty
40,80,0,32,rich,tofifty
20,100,1,30,rich,tosixty
60,20,0,36,very_rich,tosixty
20,80,1,33,middle,tothirty
60,80,0,32,one_percent,tosixty
60,80,0,42,middle,toforty
20,80,0,39,rich,toforty
80,40,0,34,very_rich,tosixty
80,100,0,31,one_percent,tothirty
60,80,1,44,very_rich,toforty
80,20,1,30,poor,tothirty
20,20,1,41,one_percent,toforty
80,40,1,35,one_percent,oversixty
80,80,1,43,one_percent,tothirty
80,40,1,42,rich,toforty
80,40,1,41,very_rich,tofifty
20,80,1,28,poor,tothirty
80,20,1,36,middle,toforty
20,60,0,33,rich,tothirty
20,100,1,44,poor,tothirty
20,20,1,34,one_percent,tosixty
80,20,1,38,rich,tosixty
40,80,1,45,one_percent,tofifty
40,40,1,48,middle,toforty
40,40,0,50,one_percent,oversixty
40,20,1,44,one_percent,tosixty
60,40,1,34,one_percent,toforty
80,40,1,27,very_rich,toforty
40,80,1,39,rich,tosixty
40,20,1,46,rich,tofifty
80,80,1,50,one_percent,toforty
40,60,0,28,one_percent,tosixty
20,20,1,30,middle,tothirty
40,20,1,46,rich,tofifty
20,20,1,38,one_percent,tofifty
20,60,1,39,rich,toforty
80,20,0,35,poor,tothirty
20,80,0,25,rich,toforty
60,20,1,40,one_percent,toforty
60,100,1,8,poor,tothirty
80,80,1,30,poor,tothirty
40,40,0,30,poor,tosixty
20,80,1,49,rich,tothirty
20,20,1,43,middle,tosixty
80,80,1,43,one_percent,tosixty
20,60,0,37,rich,toforty
60,100,0,32,very_rich,toforty
60,80,0,30,one_percent,toforty
40,40,1,46,poor,tothirty
60,60,1,53,one_percent,tofifty
60,20,1,40,middle,tothirty
80,40,1,38,poor,tosixty
40,60,1,33,middle,tothirty
60,100,1,32,rich,tothirty
60,60,1,31,very_rich,toforty
40,60,1,41,rich,tothirty
20,100,1,19,one_percent,tothirty
80,100,1,47,poor,tosixty
40,20,0,32,middle,tothirty
20,80,1,45,poor,tothirty
80,20,1,42,one_percent,tofifty
80,40,0,35,middle,tofifty
80,100,0,46,poor,tothirty
20,60,1,47,poor,tothirty
40,100,0,44,middle,tothirty
60,100,1,46,middle,toforty
40,20,1,33,one_percent,tothirty
80,100,1,43,middle,tothirty
20,60,0,46,one_percent,tothirty
80,80,0,30,one_percent,tothirty
40,100,0,31,one_percent,tothirty
80,100,1,38,very_rich,tothirty
80,60,0,41,poor,tothirty
40,80,1,40,poor,tofifty
80,60,1,49,one_percent,tothirty
60,40,1,50,middle,tothirty
60,100,0,36,middle,toforty
80,20,1,22,one_percent,tothirty
40,40,1,50,very_rich,tosixty
60,40,0,40,middle,toforty
20,20,1,36,very_rich,tofifty
20,100,1,34,poor,toforty
20,80,0,41,poor,tothirty
20,100,0,16,poor,toforty
40,100,1,45,one_percent,tofifty
60,20,1,51,poor,toforty
20,80,1,42,rich,toforty
60,20,1,42,poor,toforty
80,20,1,37,middle,tothirty
80,40,1,47,middle,toforty
80,60,1,48,poor,tothirty
80,80,1,47,very_rich,tothirty
80,20,1,32,one_percent,tothirty
80,100,1,40,rich,tothirty
20,100,1,41,middle,tothirty
80,40,1,39,one_percent,tofifty
20,100,0,33,poor,toforty
80,40,1,34,one_percent,oversixty
20,100,1,44,very_rich,oversixty
80,40,1,58,middle,tothirty
40,40,1,30,one_percent,oversixty
40,40,1,45,very_rich,oversixty
20,40,1,45,very_rich,tosixty
20,20,1,52,poor,tothirty
80,20,1,22,poor,tothirty
80,100,1,45,poor,toforty
40,20,0,27,one_percent,tosixty
60,20,0,41,middle,toforty
40,80,1,33,middle,oversixty
40,100,1,29,very_rich,tosixty
80,20,1,27,very_rich,oversixty
40,20,1,38,very_rich,toforty
40,80,1,49,middle,oversixty
40,60,0,17,one_percent,tofifty
80,100,1,28,poor,toforty
40,40,1,53,middle,toforty
20,20,0,17,rich,oversixty
40,60,1,38,middle,tothirty
20,40,1,43,very_rich,tofifty
60,80,0,23,one_percent,tofifty
60,100,1,51,one_percent,tosixty
40,100,1,31,middle,tosixty
60,40,1,51,rich,tosixty
40,100,1,49,one_percent,tosixty
60,100,1,36,one_percent,tofifty
40,40,1,43,poor,tosixty
20,20,0,49,rich,tosixty
80,60,1,19,very_rich,oversixty
80,40,1,37,one_percent,toforty
60,20,1,50,middle,tothirty
60,20,1,48,middle,tofifty
20,80,1,37,one_percent,tothirty
60,20,1,37,poor,tofifty
40,20,1,42,middle,tosixty
20,20,1,40,one_percent,tosixty
60,40,0,30,poor,toforty
20,100,1,40,poor,tosixty
40,40,0,30,one_percent,tosixty
20,60,0,35,very_rich,tosixty
80,100,1,51,poor,tothirty
80,100,1,39,very_rich,oversixty
20,40,1,35,one_percent,tothirty
60,20,1,51,middle,tosixty
20,100,1,38,rich,tofifty
20,80,1,40,rich,tothirty
80,80,0,50,middle,tothirty
40,80,0,32,poor,tofifty
20,100,1,50,one_percent,tosixty
60,60,1,49,very_rich,tosixty
20,60,0,12,one_percent,oversixty
20,40,0,40,one_percent,oversixty
20,60,1,43,poor,tothirty
20,20,1,42,rich,tothirty
40,100,0,50,rich,toforty
60,100,1,26,rich,tofifty
20,60,0,23,very_rich,oversixty
40,20,1,44,one_percent,tofifty
60,60,0,36,middle,toforty
80,20,1,32,very_rich,toforty
40,60,1,37,middle,tothirty
80,40,1,44,very_rich,tothirty
20,100,1,27,very_rich,oversixty
60,20,1,42,middle,tosixty
80,80,1,31,rich,oversixty
40,20,0,30,one_percent,oversixty
60,60,1,52,rich,tosixty
60,40,1,42,one_percent,tosixty
20,40,1,37,one_percent,toforty
40,60,1,41,one_percent,tofifty
20,20,1,39,one_percent,oversixty
20,20,1,41,one_percent,tofifty
40,100,1,48,very_rich,tosixty
40,20,0,18,one_percent,oversixty
60,20,1,42,one_percent,tofifty
80,40,0,39,very_rich,tosixty
60,20,1,37,rich,oversixty
40,80,1,39,middle,toforty
80,20,0,28,poor,tothirty
80,20,1,50,rich,tothirty
40,60,1,40,very_rich,oversixty
40,100,1,41,very_rich,tosixty
40,20,0,40,poor,toforty
20,40,0,38,one_percent,oversixty
60,80,1,46,one_percent,tosixty
60,20,1,45,very_rich,oversixty
80,20,0,17,poor,tosixty
80,20,1,37,one_percent,tothirty
20,60,1,32,very_rich,toforty
40,60,1,55,middle,oversixty
80,60,1,44,one_percent,tosixty
20,40,1,44,one_percent,oversixty
80,40,1,39,rich,tofifty
60,20,1,29,middle,toforty
40,100,1,33,middle,oversixty
80,60,1,55,poor,oversixty
80,100,1,47,poor,toforty
40,60,1,44,one_percent,tothirty
20,40,1,55,one_percent,toforty
80,60,0,17,one_percent,oversixty
80,40,1,31,poor,tofifty
60,20,1,53,very_rich,tosixty
40,20,1,40,rich,oversixty
60,20,1,34,poor,tothirty
60,80,0,33,very_rich,oversixty
80,60,0,59,very_rich,tofifty
80,40,1,44,one_percent,tofifty
40,60,1,36,one_percent,oversixty
60,100,0,39,one_percent,oversixty
40,100,0,34,very_rich,oversixty
40,60,1,37,one_percent,oversixty
20,80,0,53,very_rich,tofifty
60,100,1,31,very_rich,oversixty
20,60,0,11,one_percent,tosixty
40,80,1,34,one_percent,oversixty
40,20,1,47,one_percent,tosixty
40,60,0,22,poor,tothirty
40,60,1,47,one_percent,tothirty
40,60,0,36,middle,oversixty
20,80,1,45,one_percent,oversixty
80,20,1,39,one_percent,tofifty
20,100,1,53,one_percent,oversixty
60,20,1,50,poor,oversixty
40,100,1,33,rich,oversixty
40,100,1,47,one_percent,oversixty
40,100,1,39,one_percent,tothirty
80,40,1,55,rich,tothirty
20,60,0,27,one_percent,oversixty
40,20,1,43,poor,tothirty
20,60,1,36,one_percent,tosixty
20,20,1,40,rich,tosixty
20,60,1,51,one_percent,oversixty
20,20,1,51,rich,oversixty
40,60,1,48,one_percent,toforty
20,60,0,48,middle,oversixty
20,100,1,38,one_percent,oversixty
60,40,1,44,rich,tosixty
40,20,1,47,middle,toforty
40,20,1,42,rich,tosixty
40,100,0,30,very_rich,toforty
80,80,0,53,poor,oversixty
40,20,0,27,rich,tofifty
80,100,1,46,very_rich,oversixty
40,100,0,21,very_rich,oversixty
80,60,0,25,middle,tosixty
20,100,1,39,one_percent,tosixty
40,100,0,34,one_percent,oversixty
20,80,0,43,one_percent,tofifty
20,20,1,44,very_rich,tosixty
20,60,0,41,very_rich,tosixty
20,60,1,50,one_percent,tosixty
20,20,1,31,one_percent,toforty
60,80,1,47,middle,oversixty
40,20,1,41,rich,tothirty
60,80,0,31,rich,oversixty
80,100,1,16,rich,toforty
40,20,1,45,rich,oversixty
80,40,1,31,poor,tofifty
60,100,1,52,very_rich,tofifty
80,20,1,49,one_percent,tofifty
80,20,1,50,very_rich,tothirty
60,20,1,52,one_percent,tosixty
40,80,0,48,very_rich,tofifty
60,100,0,22,poor,tothirty
80,80,1,48,poor,tofifty
20,20,1,43,poor,oversixty
40,40,0,34,one_percent,oversixty
80,100,0,48,one_percent,oversixty
20,60,1,41,one_percent,tosixty
60,80,1,43,poor,oversixty
80,40,1,26,very_rich,tofifty
80,60,1,50,one_percent,tosixty
40,80,0,32,poor,tosixty
60,80,0,43,rich,tothirty
60,40,0,46,poor,tosixty
60,100,1,31,middle,oversixty
20,60,1,49,very_rich,oversixty
20,60,1,53,poor,tofifty
60,100,0,29,rich,oversixty
20,80,1,44,poor,tofifty
40,80,0,20,one_percent,oversixty
20,60,0,8,one_percent,oversixty
40,100,1,40,middle,oversixty
60,40,1,40,very_rich,toforty
40,60,1,34,one_percent,oversixty
80,20,0,15,one_percent,oversixty
80,60,1,37,middle,oversixty
60,80,0,41,one_percent,oversixty
80,20,1,35,poor,oversixty
40,100,1,34,rich,tothirty
80,80,1,31,middle,oversixty
80,20,1,36,very_rich,oversixty
60,40,1,40,rich,oversixty
20,60,1,33,one_percent,tosixty
20,20,1,44,very_rich,tosixty
80,20,1,55,one_percent,tosixty
40,100,0,29,rich,oversixty
20,100,1,54,rich,tothirty
40,80,1,37,very_rich,oversixty
60,80,1,28,very_rich,oversixty
80,60,1,33,rich,tofifty
80,80,1,36,poor,tosixty
40,20,1,41,rich,oversixty
40,80,1,45,very_rich,oversixty
20,100,1,36,poor,tofifty
20,40,0,30,poor,oversixty
60,60,1,41,middle,tosixty
40,80,1,43,poor,oversixty
80,40,1,40,very_rich,oversixty
20,60,1,23,rich,oversixty
20,40,1,38,one_percent,oversixty
20,60,0,42,one_percent,tosixty
20,100,1,46,middle,tofifty
80,40,0,39,poor,tothirty
60,60,1,41,very_rich,oversixty
80,80,1,35,middle,oversixty
60,20,1,40,middle,tothirty
80,100,1,39,poor,tothirty
80,40,1,48,one_percent,oversixty
40,100,1,26,one_percent,oversixty
40,20,1,24,poor,oversixty
20,20,1,55,poor,tofifty
20,80,0,45,one_percent,tosixty
40,80,0,46,poor,tothirty
60,60,0,35,one_percent,oversixty
40,40,1,41,middle,oversixty
40,20,1,58,poor,oversixty
80,20,1,48,poor,toforty
20,20,1,39,very_rich,oversixty
80,80,1,45,rich,oversixty
60,60,1,46,one_percent,oversixty
80,100,1,51,one_percent,oversixty
20,20,1,40,rich,tothirty
20,100,1,31,poor,toforty
20,80,1,47,rich,tothirty
80,80,1,44,one_percent,tosixty
80,80,0,27,poor,tosixty
60,20,0,54,rich,oversixty
60,40,1,13,one_percent,tofifty
20,80,1,49,very_rich,oversixty
20,20,1,36,very_rich,oversixty
60,80,0,16,one_percent,toforty
40,80,1,57,rich,tofifty
20,40,1,43,middle,tosixty
80,60,0,30,poor,tosixty
40,20,0,43,poor,tothirty
40,40,1,53,very_rich,tosixty
40,100,1,41,poor,toforty
60,60,0,33,one_percent,oversixty
80,80,1,50,one_percent,tosixty
40,20,1,48,very_rich,tosixty
40,20,1,32,one_percent,tothirty
60,40,1,49,one_percent,tofifty
40,80,1,45,one_percent,oversixty
60,80,1,21,one_percent,oversixty
20,60,1,54,middle,tothirty
60,60,1,37,poor,tothirty
20,60,1,42,very_rich,tosixty
80,20,1,41,very_rich,tosixty
40,40,1,39,very_rich,tosixty
60,80,1,44,one_percent,tosixty
20,80,0,33,poor,toforty
20,80,1,37,middle,oversixty
20,40,0,39,middle,tosixty
40,100,1,25,poor,tothirty
20,80,0,32,rich,oversixty
80,20,1,40,one_percent,tosixty
20,60,1,32,poor,tothirty
20,20,1,42,very_rich,tothirty
80,40,1,45,poor,oversixty
20,100,0,43,one_percent,oversixty
20,80,1,46,one_percent,tosixty
40,60,1,36,one_percent,tosixty
80,100,1,22,rich,oversixty
40,80,1,32,one_percent,oversixty
40,40,1,40,one_percent,tosixty
20,20,1,38,very_rich,tofifty
60,80,1,48,rich,tofifty
40,60,1,30,poor,tothirty
80,100,1,35,middle,oversixty
60,40,1,51,middle,tosixty
20,60,0,12,one_percent,oversixty
60,100,1,52,one_percent,oversixty
40,100,1,52,middle,oversixty
80,20,0,30,very_rich,oversixty
20,60,1,46,middle,oversixty
80,80,0,45,one_percent,tofifty
60,40,0,35,rich,oversixty
60,20,1,38,very_rich,oversixty
60,100,1,36,one_percent,oversixty
80,100,1,48,middle,tothirty
